Date,NFD,subject,insertions,deletions,total_comment_count,submitter,ndncxx
23-Jul-20,1,face: remove EndpointId from egress APIs in transport,81,89,11,21,8
3-Jul-20,1,ci: add Xcode 11.6 and 12 to Travis CI build matrix,7,1,0,21,1
2-Jul-20,9,fw: remove EndpointId from egress APIs,191,215,42,21,2
26-Jun-20,2,fw: add test for received Interest with no nonce,19,0,10,5,12
21-Jun-20,8,table: prevent integer overflow in pit::FaceRecord,39,9,22,5,3
18-Jun-20,15,fw: Add unsolicited data forwarder counter,36,23,8,1,5
9-Jun-20,1,face: remove EndpointId from egress APIs,144,153,16,21,1
9-Jun-20,6,Adjust includes for the updated locations of ndn-cxx security headers,49,56,10,21,3
31-May-20,2,Rename VERSION to VERSION.info to avoid conflicts with modern STL,3,3,0,1,1
30-May-20,2,tests: avoid use of deprecated default SigningInfo,1,1,7,1,1
30-May-20,2,face: Connect faces to the parent (unicast) or associated (multicast) channels,89,29,35,1,12
16-May-20,1,build: align minimum build dependencies with ndn-cxx,142,461,13,21,1
22-Apr-20,3,tools: erase all requested entries from CS in nfdc,125,41,20,21,9
17-Apr-20,1,fw: add HopLimit to strategy documentation,31,30,2,21,5
15-Apr-20,1,fw: attach PIT token upon CS hit,27,10,1,21,1
15-Apr-20,2,fw: process HopLimit,125,32,35,5,2
14-Apr-20,2,ci: set ASan's detect_invalid_pointer_pairs to 2,18,27,0,21,1
13-Apr-20,1,ci: add CentOS 8 support; drop CentOS 7,20,16,0,21,6
10-Apr-20,1,common: handle negative unsigneds in config,59,12,28,21,7
10-Apr-20,4,fw: Minor bug fixes for timeout sensitivity and ignored probes in ASF,22,22,26,21,3
9-Apr-20,6,tools: create face during nfdc route add,370,106,76,21,4
8-Apr-20,1,face: use /run/nfd.sock on Linux,19,10,19,21,3
7-Apr-20,2,"build+docs: switch to python3, refresh FAQ and INSTALL documents",253,344,111,21,7
2-Apr-20,4,face: handle initially non-running Ethernet interfaces,94,30,21,21,2
2-Apr-20,7,mgmt+tools: allow MTU overrides on existing faces,320,73,85,21,1
30-Mar-20,7,face: allow GenericLinkService to override MTU,185,88,103,21,3
29-Mar-20,19,ci: update Travis configuration,92,88,0,21,1
13-Mar-20,1,fw+table: use Interest::Nonce instead of uint32_t,53,76,4,21,2
12-Mar-20,1,rib: fix logic bug in config file validation,8,3,0,21,1
5-Mar-20,16,face: deduplicate received LpPackets with reliability,281,101,90,21,3
10-Feb-20,6,face: add logging to LpReliability,51,7,50,21,2
10-Feb-20,12,face: support runtime MTU changes on Ethernet faces,109,19,29,21,1
6-Feb-20,8,docs: restructure and update AUTHORS.md,57,78,22,21,1
21-Jan-20,7,build: upgrade waf to version 2.0.19,11,7,0,21,1
13-Jan-20,6,Prepare release 0.7.0,54,3,20,1,9
30-Dec-19,7,tests: avoid deprecated boost headers,48,25,3,21,3
25-Nov-19,24,Use NDN_CXX_UNREACHABLE where appropriate,20,27,6,21,9
15-Nov-19,27,mgmt: use a separate validator for prefix announcements,109,29,54,21,2
8-Nov-19,1,build: pass pkg_config_path to check_cfg() when looking for libndn-cxx,2,3,0,21,17
7-Nov-19,25,fw: SelfLearningStrategy: check if PIT out-record exists,7,1,8,21,1
7-Nov-19,20,fw: add processing for afterNewNextHop signal,273,1,72,21,4
5-Nov-19,26,rib: error out if both localhop_security and auto_prefix_propagate are enabled,90,30,21,21,8
15-Oct-19,5,mgmt: Enable use of direct fetch in RibManager,101,3,17,1,1
10-Oct-19,15,ci: upgrade Travis config to Ubuntu 18.04,39,23,0,21,6
9-Oct-19,11,fw: pull FaceTable construction out of Forwarder class,313,332,2,21,7
7-Oct-19,5,face: Make congestion marking less aggressive,97,107,49,21,7
25-Sep-19,29,face+fw: store and return PitToken from downstream,248,38,22,5,4
24-Sep-19,12,face: increase pcap buffer size,4,0,3,5,136
23-Sep-19,22,daemon: add missing include,1,0,0,5,1
14-Sep-19,10,face: add a per face counter for Interests kept by the forwarder,3,2,7,5,2
12-Sep-19,14,"Revert ""pit: add EndpointId field in in-record and out-record""",215,271,11,5,1
9-Sep-19,8,fw: Add Random Forwarding Strategy,286,6,57,21,2
2-Sep-19,1,mgmt: avoid deprecated KeyLocator::Type enum,2,4,0,5,2
